page	claim	claim_label	tags	origin_domain	origin_url	date_check	author  origin_body	date_fake
https://www.truthorfiction.com/clinton-email-asks-is-this-what-broke-looks-like/	Clinton Email Asks, “Is This What Broke Looks Like”	 Fiction!				2015/03/13	" This What BROKE Looks Like
Hillary Rodham Clinton, as a US Senator from New York State, comes under the “congressional retirement plan” which means that she STILL receives her Congressional salary until she dies.
If Bill out-lives her, he then inherits HER salary until he dies. He is already getting his Presidential retirement ($20,000 a month) until he dies. If Hillary out-lives Bill, she also gets HIS salary until she dies, Guess who pays for that? WE DO!
Clinton’s 20 Acre – $11 million mansion is common knowledge. For her to establish NY residency to run for the Senate, they purchased this mansion in upscale Chappaqua, New York ….makes sense. They are entitled to Secret Service protection for life. Still makes sense.
Here is where it becomes interesting. Their mortgage payments are around $10,000/month. But an extra residence had to be built and paid for by the federal government on the acreage to house the Secret Service Agents. Any improvement to the property is owned by the property owners…the Clinton ‘s.
So….the Clinton’s charge the federal government $10,000 monthly rent for the use of the extra residence to house the Secret Service staff which is just about equal to their mortgage payment.
This means that we, the taxpayers, pay the Clinton’s, salary, mortgage, transportation, safety and security as well as the salaries for their 12 man staff and it is all perfectly legal.
AND DON’T FORGET HIS GOVERNOR’S PENSION AND HER SECRETARY OF STATE PENSION…..
When she runs for President, will you vote for her?
How many people will YOU send this to?

"	
https://www.truthorfiction.com/air-force-academy-thunderbirds/	President Obama Delayed Thunderbirds Air Show Following Air Force Academy Graduation	 Fiction!				2015/03/09	"From an Academy grad – 204 missions over North Vietnam in an F-4
…………………………………………………………………………………………………..
I just wanted to pass on a little info in case some of you were not aware of this. Yesterday was the Air force Academy graduation ceremony. My friend from Texas had just arrived and we drove down the road to watch the Thunderbirds air show after the ceremony was finished. Most of you know Pres. Obama spoke at the ceremony and handed out the diploma’s. When this finished it was time for the Thunderbirds to fly. There was one maneuver then they disappeared.
A man standing by me called a friend at Peterson Field and found out that the air show was halted because Obama wanted to leave. A helicopter soon appeared and flew around in a circular pattern above where we were – basically doing reconnaissance as Obama’s motor-cade was exiting the Air Force Academy. He was going to Denver to do some more campaigning since Colorado is a swing state. After he left the Thunderbirds came back and continued the show for the graduates.
Think about this . Obama comes to a graduation, speaks etc. then decides to leave before the Thunderbirds can complete their air show. They had to fly around, & waste fuel. Thousands of people – the graduating cadets, parents, friends, observers in the vicinity parked in lots waiting to see them fly, inconvenienced , so Obama – his “highness’ could leave to go campaign in Denver! How disrespectful of EVERYONE in attendance.
It would have taken only about 20-30 minutes more time to stay until the fly-over was finished thereby honoring the graduates, Thunderbirds and the military in general. However, this narcissistic disgrace of a ‘Commander -in-Chief” had to inconvenience everyone and leave interrupting the ceremony fly-over because everything is about him. I was disgusted by this and so was everyone else standing around near us. I hope this info gets passed on so others can learn how disrespectful this Pres. is toward the military. Not too many who witnessed this will be voting for him.
"	
https://www.truthorfiction.com/american-no-abilities-act/	Congress Has Passed The American With No Abilities Act	 Fiction!				2015/03/17	"Happy New Year Y’all!!! 








The Americans With No Abilities Act 
President Barack Obama and the Democratic Senate are considering sweeping legislation that will provide new benefits for many Americans. The Americans With No Abilities Act is being hailed as a major legislative goal by advocates of the millions of Americans who lack any real skills or ambition. 
 “Roughly 50 percent of Americans do not possess the competence and drive necessary to carve out a meaningful role for themselves in society,” said California Sen. Barbara Boxer. “We can no longer stand by and allow People of Inability (POI) to be ridiculed and passed over. With this legislation, employers will no longer be able to grant special favors to a small group of workers, simply because they have some idea of what they are doing.”
In a Capitol Hill press conference, House Speaker Nancy Pelosi and Senate Majority Leader Harry Reid pointed to the success of the U.S. Postal Service, which has a long-standing policy of providing opportunity without regard to performance. At the state government level, the Department of Motor Vehicles also has an excellent record of hiring Persons with No Ability (63 percent). 
 Under the Americans With No Abilities Act, more than 25 million mid-level positions will be created, with important-sounding titles but little real responsibility, thus providing an illusory sense of purpose and performance. 
Mandatory non-performance-based raises and promotions will be given to guarantee upward mobility for even the most unremarkable employees. The legislation provides substantial tax breaks to corporations that promote a significant number of Persons of Inability (POI) into middle-management positions, and give a tax credit to small and medium-sized businesses that agree to hire one clueless worker for every two talented hires. 
Finally, the Americans With No Abilities Act contains tough new measures to make it more difficult to discriminate against the non-abled, banning, for example, discriminatory interview questions such as, “Do you have any skills or experience that relate to this job?” 
“As a non-abled person, I can ‘t be expected to keep up with people who have something going for them,” said Mary Lou Gertz, who lost her position as a lug-nut twister at the GM plant in Flint, Mich., due to her inability to remember righty tighty, lefty loosey. “This new law should be real good for people like me. I値l finally have job security.” With the passage of this bill, Gertz and millions of other untalented citizens will finally see a light at the end of the tunnel. 
Said Sen. Dick Durbin: “As a senator with no abilities, I believe the same privileges that elected officials enjoy ought to be extended to every American with no abilities. It is our duty as lawmakers to provide each and every American citizen, regardless of his or her inadequacy, with some sort of space to take up in this great nation and a good salary for doing so.”
"	
https://www.truthorfiction.com/arizona-protest-flag-desecration/	Immigration Protesters Desecrated US Flag in Arizona	Truth!				2015/03/17	"Courage does not always roar – – – sometimes courage is the quiet voice at the end of the day, saying – – –
I will try again tomorrow!!!!

This photo was taken by a friend at a rally at the state capitol yesterday. The news will not show it and the Capitol Police and Homeland Security would not let Americans or any of the Veterans that were there do anything about it. My husband and his friends were threatened to be arrested and were told they would be booked under federal charges if they did anything. I am sending this to you so that you in turn can start emailing it to every one on your list. It is totally uncalled for and people need to see it. This is not about politics and rhetoric, it is about a direct threat to our country. Those of you that don’t live in Arizona will maybe get a chance to see the other side of what the news is telling you. If this offends you great, than I have truly accomplished what I set out to do.
Homeland Security was designed to identify and defend America from Terrorist acts yet yesterday it let illegal and legal citizens of this country desecrate the Flag. People were spitting on it, stomping on it and burning it with cigarettes. One soldier who had just returned from Iraq tried to grab the flag and was thrown to the ground by the Capitol Police and Homeland Security.
It amazes me how many people will stand against the American People while all the while prospering from our system and our government.
Too those of you that will forward this to your friends I applaud you for the courage to stand up for the country in which you live.
To those of you who delete this, there is always someplace else for you to go.
"	
https://www.truthorfiction.com/california-code/	New California Legislation Prohibits the Terms “Mom” and “Dad” in School Textbooks	Fiction!				2015/03/17	" FYI– Subject: A quick phone poll ( I just did this  today, Monday, August 7,  2006, at noon, so it is not an oldie or a hoax.  Maggie)
  California legislators have passed a bill, SB1437,  that indoctrinates school  children with the homosexual agenda. The bill  requires that all new text books  (k-12) highlight homosexuals and eliminate all  references to “mom” and “dad.”  This bill is ridiculous, it’s expensive and it  singles out a small special  interest group. We don’t need elementary school  children exposed to this  nonsense.  The governor is doing a phone poll. Urge him to veto  this bill.  It’s very easy, you don’t even have to talk  to anyone…just follow  the instructions below: Please call the governor’s  office at 916-445-2841.  The phone recording will ask:  A. If you want this message in  English?: yes, press 1  B. Is this in regards to a  legislation bill? yes, press 2  C. Is the bill SB 1437? yes, press  1  D. Are you in favor of this  legislation? no, press 2  It takes less than 30 seconds to  make the call —- If we  don’t voice our concerns NOW, this could become law!
  Please feel free to pass this message along to your  friends!!!! A person’s  sexual orientation should remain in the bedroom, NOT  THE CLASSROOM!
"	
https://www.truthorfiction.com/illegal-aliens/	A forwarded email turned into a social media meme uses statistics to show the effects of undocumented immigration.	Not True	['border issues', 'facebook memes', 'immigration', 'u.s.-mexico border']			2015/03/17	"
From the L.A. Times
 
1. 40% of all workers in L.A. County ( L.A. County has 10.2 million people)
 
 are working for cash and not paying taxes. This was because they are
 
 predominantly illegal immigrants, working without a green card.
2. 95% of warrants for murder in Los Angeles are for illegal aliens.
3. 75% of people on the most wanted list in Los Angeles are illegal aliens.
 
 
4. Over 2/3 of all births in Los Angeles County are to illegal alien
 
 Mexicans on Medi-Cal, whose births were paid for by taxpayers.
 
5. Nearly 25% of all inmates in California detention centers
 
 are Mexican nationals here illegally.
 
6. Over 300,000 illegal aliens in Los Angeles County are living in garages.
 
7. The FBI reports half of all gang members in Los Angeles
 
 are most likely illegal aliens from south of the border.
 
8. Nearly 60% of all occupants of HUD properties are illegal.
 
9. 21 radio stations in L.A. are Spanish speaking.
 
10. In L.A. County 5.1 million people speak English.
 
  3.9 million speak Spanish.
 
 (There are 10.2 million people in L.A. County ).
 
11. Less than 2% of illegal aliens are picking our crops,
 
but 29% are on welfare.
 
12. Over 70% of the United States ‘ annual population growth
 
(and over 90% of California , Florida , and New York )
is illegal aliens.
 
 
"	
https://www.truthorfiction.com/clintonfriends/	People linked directly to Bill and Hillary Clinton have died under mysterious circumstances, suggesting a massive cover-up.	Not True	['2016 election', 'bill clinton', 'clinton body bags', 'conspiracy', 'hillary clinton']			2015/03/17	"Just a few of the people Bill Clinton did not have to pardon…
James McDougal – Clinton’s convicted Whitewater partner died of an apparent heart attack, while in solitary confinement. He was a key witness in Ken Starr’s investigation.
Mary Mahoney – A former White House intern was murdered July 1997 at a Starbucks Coffee Shop in Georgetown. The murder happened just after she was to go public with her story of sexual harassment in the White House.
Vince Foster – Former white House councilor, and colleague of Hillary Clinton at Little Rock’s Rose Law firm. Died of a gunshot wound to the head, ruled a suicide.
Ron Brown – Secretary of Commerce and former DNC Chairman. Reported to have died by impact in a plane crash. A pathologist close to the investigation reported that there was a hole in the top of Brown’s skull resembling a gunshot wound. At the time of his death Brown was being investigated, and spoke publicly of his willingness to cut a deal with prosecutors.
C. Victor Raiser II – & – Montgomery Raiser, Major players in the Clinton fund raising organization died in a private plane crash in July1992.
Paul Tulley – Democratic National Committee Political Director found dead in a hotel room in Little Rock, September 1992. Described by Clinton as a “Dear friend and trusted advisor”.
Ed Willey – Clinton fund raiser, found dead November 1993 deep in the woods in VA of a gunshot wound to the head. Ruled a suicide. Ed Willey died on the same day his wife Kathleen Willey claimed Bill Clinton groped her in the oval office in the White House. Ed Willey was involved in several Clinton fund raising events.
Jerry Parks – Head of Clinton’s gubernatorial security team in Little Rock. Gunned down in his car at a deserted intersection outside Little Rock. Park’s son said his father was building a dossier on Clinton. He allegedly threatened to reveal this information. After he died the files were mysteriously removed from his house.
James Bunch – Died from a gunshot suicide. It was reported that he had a “Black Book” of people which contained names of influential people who visited prostitutes in Texas and Arkansas.
James Wilson – Was found dead in May 1993 from an apparent hanging suicide. He was reported to have ties to Whitewater.
Kathy Ferguson, ex-wife of Arkansas Trooper Danny Ferguson, was found dead in May 1994, in her living room with a gunshot to her head. It was ruled a suicide even though there were several packed suitcases, as if she were going somewhere. Danny Ferguson was a co-defendant along with Bill Clinton in the Paula Jones lawsuit. Kathy Ferguson was a possible corroborating witness for Paula Jones.
Bill Shelton – Arkansas State Trooper and fiancee of Kathy Ferguson.Critical of the suicide ruling of his fiancee, he was found dead in June, 1994 of a gunshot wound also ruled a suicide at the grave site of his fiancee.
Gandy Baugh – Attorney for Clinton’s friend Dan Lassater, died by jumping out a window of a tall building January, 1994. His client was a convicted drug distributor.
Florence Martin – Accountant & sub-contractor for the CIA, was related to the Barry Seal Mena Airport drug smuggling case. He died of three gunshot wounds.
Suzanne Coleman – Reportedly had an affair with Clinton when he was Arkansas Attorney General. Died of a gunshot wound to the back of the head, ruled a suicide. Was pregnant at the time of her death.
Paula Grober – Clinton’s speech interpreter for the deaf from 1978 until her death December 9, 1992. She died in a one car accident.
Danny Casolaro – Investigative reporter. Investigating Mena Airport and Arkansas Development Finance Authority. He slit his wrists, apparently, in the middle of his investigation.
Paul Wilcher – Attorney investigating corruption at Mena Airport with Casolaro and the 1980 “October Surprise” was found dead on a toilet June 22, 1993 in his Washington DC apartment. Had delivered a report to Janet
Reno 3 weeks before his death.
Jon Parnell Walker – Whitewater investigator for Resolution TrustCorp. Jumped to his death from his Arlington, Virginia apartment balcony August15, 1993. He was investigating the Morgan Guarantee scandal.
Barbara Wise – Commerce Department staffer. Worked closely with Ron Brown and John Huang. Cause of death unknown. Died November 29, 1996. Her bruised, nude body was found locked in her office at the Department of Commerce.
Charles Meissner – Assistant Secretary of Commerce who gave John Huang special security clearance, died shortly thereafter in a small plane crash.
Dr. Stanley Heard – Chairman of the National Chiropractic Health Care Advisory Committee died with his attorney Steve Dickson in a small plane crash. Dr. Heard, in addition to serving on Clinton’s advisory council personally treated Clinton’s mother, stepfather and brother.
Barry Seal – Drug running pilot out of Mena Arkansas, death was no accident
Johnny Lawhorn Jr. – Mechanic, found a check made out to Bill Clinton in the trunk of a car left at his repair shop. He was found dead after his car had hit a utility pole.
Stanley Huggins – Investigated Madison Guarantee. His death was a purported suicide and his report was never released.
Hershell Friday – Attorney and Clinton fund raiser died March 1, 1994 when his plane exploded.
Kevin Ives & Don Henry – Known as “The boys on the track” case. Reports say the boys may have stumbled upon the Mena Arkansas airport drug operation. A controversial case, the initial report of death said, due to falling asleep on railroad tracks. Later reports claim the 2 boys had been slain before being placed on the tracks. Many linked to the case died before their testimony could come before a Grand Jury.
THE FOLLOWING PERSONS HAD INFORMATION ON THE IVES/HENRY CASE:
Keith Coney – Died when his motorcycle slammed into the back of a truck, 7/88.
Keith McMaskle – Died stabbed 113 times, Nov, 1988 Gregory Collins –
Died from a gunshot wound January 1989.
Jeff Rhodes – He was shot, mutilated and found burned in a trash dump in April 1989.
James Milan – Found decapitated. However, the Coroner ruled his death was due to “natural causes”.
Jordan Kettleson – Was found shot to death in the front seat of his pickup truck in June 1990.
Richard Winters – A suspect in the Ives / Henry deaths. He was killed in a set-up robbery July 1989.
THE FOLLOWING CLINTON BODYGUARDS ARE DEAD:
Major William S. Barkley Jr.
Captain Scott J. Reynolds
Sgt. Brian Hanley
Sgt. Tim Sabel Major
General William Robertson
Col. William Densberger
Col. Robert Kelly Spec.
Gary Rhodes
Steve Willis
Robert Williams
Conway LeBleu
Todd McKeehan
Quite an impressive list! Pass this on. Let the public become aware of what happens to friends of the Clinton’s!
This is frightening!  Will anyone pursue the truth??  Will we not want to hear it??
"	
https://www.truthorfiction.com/abraham-lincoln-ordered-the-execution-of-39-men/	Abraham Lincoln Ordered the Execution of 39 Men	Truth! & Fiction!				2015/03/17	"
This picture is of 39 men that were ordered to be executed by Abraham Lincoln for treaty violations (hunting off of their assigned reservation)Yes the “Great Emancipator” as the history books so fondly referred to him as. Authorities in Minnesota asked President Lincoln to order the immediate execution of all 303 Indian males found guilty. Lincoln was concerned with how this would play with the Europeans, whom he was afraid were about to enter the war on the side of the South. He offered the following compromise to the politicians of Minnesota: They would pare the list of those to be hung down to 39. In return, Lincoln promised to kill or remove every Indian from the state and provide Minnesota with 2 million dollars in federal funds. So, on December 26, 1862, the “Great Emancipator” ordered the largest mass execution in American History, where the guilt of those to be executed was entirely in doubt. Regardless of how Lincoln defenders seek to play this, it was nothing more than murder to obtain the land of the Santee Sioux and to appease his political cronies in Minnesota. You have no idea the things that are hidden from you with the textbooks assigned to you as a child by your government. Stay mindful people, be aware….in the age of information being ignorant is indeed a choice. Goodnight everyone

"	
https://www.truthorfiction.com/presidentialiq/	The Estimated IQ’s of American Presidents	Fiction!				2015/03/16	"
The Intelligence of our Presidents
Bakersville News Service 6-28-01 12:32 PM CST
by Jennifer L. Borenstein
The intelligence of our presidents has never been seriously scrutinized at any time in our history until now. There is a widespread perception that President G. W. Bush is not qualified for the position he holds. That increasing awareness by the people has led to a study of the intellectual ability of all presidents for the past fifty years.
There have been twelve presidents in that time, from F. D. Roosevelt to G. W. Bush. All were rated based on scholarly achievements, writings that they alone wrote, their ability to speak effectively, and a number of psychological factors.
The conclusions of the study, conducted by an independent think tank located in Scranton, Pennsylvania were surprising. This think tank includes high caliber historians, psychiatrists, sociologists, scientists in human behavior, and psychologists. Among their ranks are Dr. Werner Levenstein, world-renowned sociologist, and Professor Patricia A. Williams, a world-respected psychiatrist. All members of the think tank are experts at being able to detect a person’s IQ from the criteria stated earlier.
After four months of research, these learned men and women have determined the IQs of each president within a range of five percentage points. The IQs listed below are the norms for each president.
147 Franklin D. Roosevelt (D)
132 Harry Truman (D)
122 Dwight D. Eisenhower (R)
174 John F. Kennedy (D)
126 Lyndon B. Johnson (D)
155 Richard M. Nixon (R)
121 Gerald Ford (R)
175 James E. Carter (D)
105 Ronald Reagan (R)
099 George HW Bush (R)
182 William J. Clinton (D)
091 George W. Bush (R)
The non-partisan researchers who evaluated the twelve presidents determined that the six Republican presidents for the past 50 years had an average IQ of 115.5, with President Nixon having the highest IQ, at 155.
President G. W. Bush was rated the lowest of all the Republicans with an IQ of 91.
The six Democrat presidents had IQs with an average of 156, with President Clinton having the highest IQ, at 182. President Lyndon B. Johnson was rated the lowest of all the Democrats with an IQ of 126. The margin of error is plus or minus five percent.
This study was initiated on February 13, 2001 and completed on June 17, 2001.
This study validated the widespread feeling of people about the sitting president. President Bush was rated low because of his inability to command the English language, his lack of any scholarly achievements, and an absence of anything authored by him that would reflect an intellectual effort.

"	
https://www.truthorfiction.com/goreancestor/	Al Gore’s HorseThief Ancestor	Fiction!				2015/03/16	"Tipper Gore, an amateur genealogical researcher, discovered that her husband’s great-great uncle, Gunther Gore, a fellow lacking in character, was hanged for horse stealing and train robbery in Tennessee in 1889. The only known photograph of Gunther shows him standing on the gallows. On the back of the picture is this inscription: “Gunther Gore; horse thief, sent to Tennessee Prison 1885, escaped 1887, robbed the Tennessee Flyer six times. Caught by Pinkerton detectives, convicted and hanged in 1889.”
After letting Al Gore and his staff of professional image consultants peruse
the findings, they decided to crop Gunther’s picture, scan it in as an enlarged image, and edited it with image processing software so that all that’s seen is a head shot. The accompanying biographical sketch was sent to the Associated Press as follows: “Gunther Gore was a famous rancher in early Tennessee history. His business empire grew to include acquisition of valuable equestrian assets and intimate dealings with the Tennessee railroad. Beginning in 1883, he devoted several years of his life to service at a government facility, finally taking leave to resume his dealings with the railroad. In 1887, he was a key player in a vital investigation run by the renowned Pinkerton Detective Agency. In 1889, Gunther passed away during an
important civic function held in his honor when the platform upon which he was standing collapsed.”
"	
